Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
340,Don Muhlbach,DET,LS,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jonathan Bullard,ARI,DE,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Michael Bennett,NE,DE,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Darius Phillips,CIN,CB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Colin Holba,SF,LS,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Tony McRae,CIN,CB,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Anthony Chickillo,PIT,OLB,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kameron Canaday,PIT,LS,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Ola Adeniyi,PIT,OLB,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Caleb Brantley,WAS,DT,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Steven Sims,WAS,WR,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Quinnen Williams,NYJ,NT,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Cody Barton,SEA,ILB,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Maliek Collins,DAL,DL,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Sean Chandler,NYG,SS,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kevin Minter,TB,ILB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Joe Cardona,NE,LS,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Justin Hardee,NO,CB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Barkevious Mingo,HOU,OLB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kaden Elliss,NO,OLB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Derek Carrier,LV,TE,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jesus Wilson,TB,WR,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Logan Thomas,DET,TE,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Levine Toilolo,SF,TE,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Trent Sieg,LV,LS,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Rakeem Nunez-Roches,TB,DE,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Adam Butler,NE,DT,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kiko Alonso,NO,ILB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Brandon Dunn,HOU,DL,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Javon Hargrave,PIT,DT,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Darren Fells,HOU,TE,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Tyrod Taylor,LAC,QB,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Isaac Rochell,LAC,DE,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Troy Fumagalli,DEN,TE,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Dennis Gardeck,ARI,OLB,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Cullen Gillaspia,HOU,FB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jeff Heuerman,DEN,TE,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kyle Wilber,LV,OLB,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Erik Harris,LV,SS,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,James Develin,NE,FB,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Zach Triner,TB,LS,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Tyler Ott,SEA,LS,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Ulysees Gilbert III,PIT,ILB,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Roosevelt Nix,PIT,FB,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Buddy Howell,HOU,RB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Alec Ingold,LV,FB,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Keisean Nixon,LV,CB,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Devontae Booker,DEN,RB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Nate Ebner,NE,SS,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Terrence Brooks,NE,DB,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Antony Auclair,TB,TE,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Deonte Harris,NO,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Taiwan Jones,HOU,RB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,J.J. Nelson,LV,WR,1,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Darious Williams,LAR,CB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Solomon Thomas,SF,DT,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,T.J. Logan,TB,RB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Gunner Olszewski,NE,WR,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Peter Kalambayi,HOU,ILB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Cyrus Jones,BAL,CB,1,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Adarius Taylor,CLE,OLB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Marquis Haynes,CAR,DE,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Harrison Phillips,BUF,DT,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
